Title,Author,Poem Text
ӨӨР ДУУНД УЯРАХГҮЙ,Лха Отхан,"Өнгөрсөн дурсамжууддаа би дуртай 
Өөрчлөх хэрэггүй миний гэнэн алдаанууд 
Өөрийг минь нуугаагүй тэнэглэл 
Өдрийн тэмдэглэл, шүлэг, нөхөд 
Өөртөө мартагдсан амлалтуудыг 
Өөр дуунаас санахгүй, өөр дурсамжинд уярахгүй 
Өөрөө л хайртай тэнэглэлүүд минь 
Өөрчлөх хэрэггүй, мартах хэрэггүй 
Өөр бусдад бүр ч хэрэггүй, тэнэг явсан дурсамжууд минь 
Өөр дуунд уярахгүй. "
Гомдол,Б.Азжаргал,"Голын ус хоржигносон бодол боргилсон орой 
Гомдол тээсэн харц гүүрний багана мөргөнө 
Нөмрөөд суусан гунигыг минь салхи бургасаар шавхуурдана 
Нөсөө толбо адил нэвт шингэн үл арилана."
ЦАСНЫ УТГА УЧИР,Лха Отхан,"Намайг бодлоор ургуулах өвлийн нэл зөөлөн цас 
Нэлдээн уулсыг шингээх мэт намуухан ихэмсэглэхэд 
Надаас урт настай шинэхэн цагаан цасаар /nНаадан тоглох хүүгээ эрхлүүлэх амьдарсны минь утга учир /nАй даа, хорвоо гэдэг энэ л юм байна."
ХАРААЦАЙ НАС,Лха Отхан,"Цэцэгсгүй хавар, шалбаагт замаар 
Цэцэглэж явсан миний бага нас 
Зэрэмдэг хорвоогийн хашхираан дундаас 
Зээр шиг үргэж алсад оджээ 
Зүрхэн далиар нисээд одсон 
Зүггүй хараацай минь чи одоо хаана явна?"
ҮХЛИЙГ ҮЗЭХ Л ҮЛДСЭН,Лха Отхан,"Шарлаж амжаагүй модод цасан будраанд дарагдаж 
Цаг нь болоогүй нас түүн шиг урьтаад хальжээ 
Цамнан хөөрсөн зан төрх нэл чимээгүйн дунд алсалж 
Цагаан дурсамжаар нэхэгдэх тэр л төрх чинь гуниг, ухаарлын үргэлжлэл 
Удалгүй “би” ч бас хойноос нь одсон 
Учирлаж мэдэхгүй ч эндээс явсан 
Уй гашуугаар дутахгүй бас уучлал, зэмлэлээр ч дутахгүй 
Учрал хайраа төгсгөөд сэмхэн яарч одсон 
Үнэнтэй тооцоо хийхгүй 
Үхэгсдийн хойноос жагсаж 
Үсгэн дотор өнгө, тоон дотор үргэлжлэл төдий болоод 
Өөрийгөө ч хүртэл орхиод үүрд явлаа"
ӨВСНИЙ АМЬДРАЛ,Лха Отхан,"Өвсний амьдрал хамгаас сайхан 
Өрөөлөөр чичлүүлэхгүй эрх  дураараа 
Өнгө өнгөөр ялгарахгүй нь үнэн бөгөөд эгэл 
Өвс л болж төрдөг байж дээ сэтгэл минь хоёулаа 
Өвс байснаа сэрэн санах шөнийн зүүд 
Өөр хаанаас ч олохоос өнгөрсөн он жил 
Өр зүрх сэр сэр салхи, үүл, бороо... элс айсуй 
Өөр би хэн байлаа даа, өвс л шүү дээ, чи"
ЧАМД, Г.Мөнхтулга,"Нуурын мандалд хунгийн далавч шүргэнэ 
Нуугдсан сэтгэл чиний чиглэлд урсана 
Нугын бэлчирт сараана цэцэг соёолно 
Нуман зүрх минь чиний л зүгт цохилно 
Ирж яваа зуны халуун наран бүгчимдүүлнэ 
Ирж яваа чиний бүлээн зүрх бачимдуулна 
Инээх чинь, ярих чинь, дуулах чинь улам намайг дурлуулна 
Эрхлэх чинь, туних чинь, гомдох чинь улам хайлуулна хонгорхон минь ээ"
Навчисын шуурганаар,А.Сүглэгмаа,"Горь тасрах мэт ганц улаан навч 
Гол зуран сэтгэлийн гүн рүү хийсэхдээ 
Хэлбэр дүрсээ хэдийн алдчихсан, бас гандчихсан 
Хэнхдэг цээжинд минь эргэлдэх үй түмэн навчсыг дагуулан 
Арван гуравтайгаа л очихыг хүсдэг байсан 
Амьдралын гаднах харгуй руу шууран одов оо"
Миний мэдэх намар,Г.Аюурзана ,"Харсаар байтал зуны сарууд яг дэргэдүүр минь өнгөрч 
Хачин уйтгартай ч нэг л танил шаргал өдрүүд ээлжилнэ 
Навчис, шувууд, дурлалууд надаас холдоод явахын цагт 
Намрын бороо зуных шиг шивэрч сэтгэл үймүүлэх нь юу вэ"
НАМАР,Ц.БАТТУЯА,"Надаас урван одох зуны 
Хэлж зүрхлээгүй үгсийг намар гэнэ 
Над руу шунан тэмүүлэх өвлийн 
Хачин нууцлаг санаашралыг намар гэнэ"
Хүсэл,Хулан,"Хүсэхээс илүүг мэдэхгүй болохоор 
Хүрэхээс хайран чи минь 
Хагацахаас илүүг үзээгүй болохоор /nХолоос хайрлах нандин тэр минь"
Орчлон, Номинзул,"Намхан орчлонг өндөр болгох гэж 
Нахилзанхан ургадаг байх даа энэ модод 
Онцгой хүсэл дотнохон сэтгэлийнхээ 
Оргилох гэрлийг сацрууланхан гэрэлтүүлье 
Мөд ирэхгүй төд бүтэхгүй зүйл гэж үгүй ээ 
Мөнгөн сартай ертөнцийн жаргалыг сэтгэлээсээ халиа"
Шарх,Э.Намар,"Үснийхээ үзүүр бүрт 
Үнэрийг чинь шингээж сүлжээд 
Өдөр бүр аялдаг дууг чинь 
Өвөртлөөд би хэвтлээ 
Явахдаа чи надад гунигаа нөмрүүлээд 
Яаруухан алхахдаа шархаа дэрлүүлжээ 
Чамд баярлалаа"
Өдөржингөө би өрөөнийхөө буланд,Э.Намар,"Өдөржингөө би өрөөнийхөө буланд 
Өвдгөө тэврээд өнгөрснийг зурлаа 
Өвөл шиг аравдугаар сарыг 
Шараар би тэнгэрийг нь 
Цагаанаар би бяцхан горхийг 
Өөрийгөө харин хөх өнгөөр будлаа 
Газарт байсан ганц тэр лонхийг 
Гагц би зуралгүй орхилоо 
Өдөржингөө би өрөөнийхөө буланд 
Өнгөрснийг тэврээд асгартал уйллаа"
Эсрэг утгаар нь,Галсансүх,"Дотоод эрчим хүч минь илүүдвэл 
Дэлхийн хөрсөнд алгаа хүргэнэ 
Ухаан санаа минь самуурвал 
Уулын оргилд гарч дуу аялна 
Хүсэл мөрөөдөл минь биелбэл 
Хүзүүнээсээ олс углана 
Амьдрал утгатай санагдвал 
Архи сархдыг хэсэг зооглоно 
Жаргал цэнгэл халиад ирвэл 
Жаран хөлтэй хорхой тэжээнэ 
Зовлон гуниг хэтрээд ирвэл 
Завь үйлдэж голоор аялна"
